Record Number, Time, Temperature (F), Pressure (mbar), Humidity (%), Wind Direction (Degrees), Wind Direction (String), Wind Speed (MPH), Wind Gust (MPH), Precipitation (Inches), Shortwave Radiation (W m^(-2)), Avg. RF Watts (W), Avg. RF Watts Frequency (MHz), Peak RF Watts (W), Frequency of RF Watts Peak (MHz), Peak RF Watts Frequency (MHz), Watts of RF Watts Frequency Peak (W), Avg. RF Density (W m^(-2)), Avg. RF Density Frequency (MHz), Peak RF Density (W m^(-2)), Frequency of RF Density Peak (MHz), Peak RF Density Frequency (MHz), Density of RF Density Frequency Peak (W m^(-2)), Avg. Total Density (W m^(-2)), Max Total Density (W m^(-2)), Avg. EF (V/m), Max EF (V/m), Avg. EMF (mG), Max EMF (mG),Station ID
1, 2020-05-16 16:38:54.100572,67.8,1014.3,23.8,256.5, WSW,0.7,2.5,0,130,3.326912E-10,694,5E-09,1866,1866,5E-09,3.38235294118E-05,732.6,0.0005,1866,1881,0.0003,0.000126470588235,0.001,693.7,886,1.2,1.4,1
2, 2020-05-16 16:53:55.786168,66.2,1014.3,24,252, WSW,0.5,2.1,0,140,8.500571E-10,759.1,2.5E-08,1880,1881,4E-09,5.42857142857E-05,776.4,0.0013,1880,1881,0.0004,0.000301428571429,0.0011,676.6,844,1.3,1.5,1
3, 2020-05-16 17:08:56.629817,65.8,1014.1,23.3,255.5, WSW,0.4,3.1,0,130,4.531143E-10,741,5E-09,1861,1878,3E-09,2.85714285714E-05,758.6,0.0005,1861,1878,0.0003,0.00026,0.0011,690.1,889.6,1.2,1.4,1
4, 2020-05-16 17:23:58.887251,65.1,1014.2,24.5,248.4, WSW,0.3,1.5,0,140,5.634E-10,775.9,1.6E-08,1884,1884,1.6E-08,2.8571428571E-06,671.5,0.0001,1880,1880,0.0001,0.000472857142857,0.0028,664.1,880,1.2,1.5,1
5, 2020-05-16 17:38:59.409071,65.1,1014.2,23.7,295.7, WNW,0.1,0.9,0,145,2.303E-10,670.8,3E-09,1872,1872,3E-09,2.28571428571E-05,776,0.0003,1872,1879,0.0003,0.001105714285714,0.0029,675.8,880,1.2,1.4,1
6, 2020-05-16 17:54:02.000907,65.1,1014.1,24.5,261.4, W,0,0.1,0,125,7.942429E-10,759.6,2.5E-08,1880,1884,3E-09,4.71428571429E-05,724.8,0.0025,1880,1884,0.0003,0.00108,0.0035,680.5,874,1.1,1.4,1
7, 2020-05-16 18:09:02.460548,64.9,1014,24.3,227.8, SW,0.1,1,0,140,3.697286E-10,740.6,4E-09,1850,1884,3E-09,2.71428571429E-05,740.9,0.0005,1860,1887,0.0002,0.00121,0.0041,660.8,841.6,1.1,1.3,1
8, 2020-05-16 18:24:03.544369,64.6,1013.8,24.7,177.3, S,0.2,2.1,0,105,3.460143E-10,740.9,4E-09,1869,1889,3.98E-10,2.57142857143E-05,758.3,0.0004,1860,1889,0,0.000995714285714,0.0029,689.9,881.2,1.1,1.3,1
9, 2020-05-16 18:39:05.500628,63.7,1013.6,27.1,353.9, NNW,1,3.1,0,55,4.008857E-10,775.5,5E-09,1865,1877,3E-09,2.85714285714E-05,740.8,0.0005,1869,1877,0.0003,0.000995714285714,0.0028,685.3,841.6,1,1.2,1
10, 2020-05-16 18:54:07.658788,62.6,1013.6,28.4,346.5, NNW,1.3,4.5,0,40,5.766429E-10,813,5E-09,1880,1886,1E-09,3.85714285714E-05,795.1,0.0005,1880,1884,0.0002,0.001015714285714,0.0041,690.1,881.2,1,1.2,1
11, 2020-05-16 19:09:09.312308,61.3,1013.5,28.8,344, NNW,1.2,3.6,0,30,2.7703286E-09,793.8,1.58E-07,1879,1879,2E-09,0.000251428571429,776.2,0.0158,1879,1879,0.0002,0.000908571428571,0.0027,691.1,882.4,0.8,1,1
12, 2020-05-16 19:24:10.377742,59.9,1013.4,30.3,344.9, NNW,0.7,3,0,15,6.811286E-10,741.8,2.5E-08,1880,1880,2.5E-08,5.85714285714E-05,793.3,0.0025,1880,1880,0.0025,0.001012857142857,0.0029,718.6,883.6,0.7,0.9,1
13, 2020-05-16 19:39:11.632306,59.2,1013.3,31.1,359.6, NNW,1.4,3.6,0,15,5.552429E-10,792.4,5E-09,1878,1887,1E-09,2.28571428571E-05,757.2,0.0005,1884,1888,0.0001,0.00107,0.0066,703.6,882.4,0.6,0.8,1
14, 2020-05-16 19:54:12.536432,58.5,1013.2,32.5,358.9, NNW,1,2.2,0,10,5.739143E-10,759,6E-09,1884,1884,6E-09,5.85714285714E-05,776.5,0.0016,1880,1884,0.0002,0.001038571428571,0.003,741.1,901.6,0.5,0.7,1
15, 2020-05-16 20:09:13.854087,57.4,1013.1,33.2,358.5, NNW,0.5,2.1,0,15,4.509429E-10,740,5E-09,1864,1873,3E-09,2.85714285714E-05,739.6,0.0005,1864,1864,0.0005,0.001055714285714,0.003,732,889.6,0.5,0.7,1
16, 2020-05-16 20:24:15.679066,55.8,1013,35.2,344.2, NNW,0.2,1.2,0,0,5.905429E-10,794.6,5E-09,1880,1886,1E-09,3.85714285714E-05,794.9,0.0005,1880,1881,0,0.001131428571429,0.0031,739.3,929.2,0.4,0.6,1
17, 2020-05-16 20:39:17.323528,54.1,1012.9,38.2,351.8, NNW,0,0,0,0,7.266857E-10,811.6,6E-09,1863,1883,3E-09,6E-05,811.9,0.0008,1863,1883,0.0003,0.000995714285714,0.0049,732.9,912.4,0.3,0.6,1
18, 2020-05-16 20:54:18.733061,53.2,1013,40.6,333.4, NNW,0,0,0,0,3.011571E-10,705.2,4E-09,1840,1880,2E-09,2.28571428571E-05,739.5,0.0005,1839,1880,0.0002,0.001098571428571,0.0029,713.5,929.2,0.2,0.4,1
19, 2020-05-16 21:09:21.948170,52.2,1013.1,42.9,315, NW,0,0,0,0,6.647286E-10,759.1,2E-08,1880,1886,1E-09,2.57142857143E-05,763,0.0005,1880,1886,0.0001,0.001061428571429,0.003,699.8,922,0.1,0.3,1
20, 2020-05-16 21:24:26.264793,51.3,1013.1,44.7,315, NW,0,0,0,0,5.158E-10,775.3,8E-09,1864,1876,3E-09,1.71428571429E-05,705.8,0.0005,1874,1876,0.0003,0.00101,0.0031,731,911.2,0.1,0.3,1
21, 2020-05-16 21:39:31.606317,50.9,1013,46.7,315, NW,0,0,0,15,1.1673286E-09,740.6,5E-08,1879,1879,5E-08,0.000104285714286,775,0.005,1879,1879,0.005,0.001,0.0032,743.9,918.4,0.1,0.2,1
22, 2020-05-16 21:54:36.656520,50,1013,48,314.7, NW,0,0,0,5,4.586857E-10,688.2,8E-09,1868,1868,8E-09,5E-05,758.7,0.0008,1868,1882,0.0006,0.000764285714286,0.0025,724.4,918.4,0,0.2,1
